id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
155420,GP13-MUS-121,Gauteng,2013,251,13,228,,3
155421,GP13-MUS-129,Gauteng,2013,2759,8,294,,0
155422,GP13-MUS-132,Gauteng,2013,,8,23,,2
155423,GP13-MUS-133,Gauteng,2013,251,13,228,878,3
155424,GP13-MUS-134,Gauteng,2013,,8,294,4127,0
155425,GP14-MUS-241,Gauteng,2014,251,13,228,6298,0
155426,15MUS-AH035,Gauteng,2015,251,13,228,,3
155427,15MUS-AH077-R,Gauteng,2015,,8,23,6289,0
155428,15MUS-AH080,Gauteng,2015,251,,228,6298,0
155429,15MUS-AH090,Gauteng,2015,251,13,228,763,3
155431,15MUS-AH129,Gauteng,2015,621,13,23,878,2
155433,15MUS-AH168,Gauteng,2015,821,8,166,,0
155434,16MUS-AH017-R,Gauteng,2016,251,13,228,878,3
155435,17MUS-AH017-R,Gauteng,2017,251,13,228,,3
155436,17MUS-AH019,Gauteng,2017,1620,13,285,5273,3
155437,17MUS-AH021,Gauteng,2017,251,13,228,6298,3
155438,17MUS-AH024,Gauteng,2017,333,13,285,,
155439,17MUS-AH026,Gauteng,2017,251,,228,,3
155440,17MUS-AH027,Gauteng,2017,251,13,228,,
155441,17MUS-AH029,Gauteng,2017,251,13,228,,3
155442,17MUS-AH034,Gauteng,2017,251,13,285,3894,0
155443,17MUS-AH035-R,Gauteng,2017,619,8,294,,
155444,17MUS-AH038,Gauteng,2017,623,8,515,,3
155445,17MUS-AH039,Gauteng,2017,251,13,228,,0
155446,17MUS-AH041,Gauteng,2017,251,13,285,878,0
155447,17MUS-AH044,Gauteng,2017,618,13,294,,0
155448,17MUS-AH047,Gauteng,2017,333,13,285,5276,3
155449,17MUS-AH051,Gauteng,2017,333,13,285,913,3
155450,17MUS-AH052,Gauteng,2017,1399,8,228,,0
155451,17MUS-AH054,Gauteng,2017,251,13,228,,3
