id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
27129,S509,UK [England],1997,,457,102,167,100,12,6,false,
27130,S320,UK [England],1997,,457,102,167,100,12,6,false,
27131,S079,UK [England],1995,,457,102,167,100,12,6,false,
27132,S446,UK [England],1997,,457,102,167,100,12,6,false,
27133,S081,UK [England],1995,,457,102,167,100,12,6,false,
27134,S448,UK [England],1997,,457,102,167,100,12,6,false,
27135,S488,UK [England],1997,,457,102,167,100,12,6,false,
27136,S481,UK [England],1997,,457,102,167,100,12,6,false,
27137,S427,UK [England],1997,,457,102,167,100,12,6,false,
27138,S352,UK [England],1997,,457,102,167,100,12,6,false,
27139,S278,UK [England],1996,,,102,167,100,12,6,false,
27140,S058,UK [England],1995,,461,102,167,100,12,6,false,
27141,S041,UK [England],1995,,457,102,167,100,12,6,false,
27142,S207,UK [England],1996,,,102,167,100,12,6,false,
27143,ERR029248,Unknown,,,457,102,167,100,12,6,false,
27144,S458,UK [England],1997,,457,102,167,100,12,6,false,
27145,S377,UK [England],1997,,457,102,167,100,12,6,false,
27146,S474,UK [England],1997,,457,102,167,100,12,6,false,
27147,S350,UK [England],1997,,457,102,167,100,12,6,false,
27148,S151,UK [England],1996,,461,102,167,100,12,6,false,
27149,S310,UK [England],1997,,457,102,167,100,12,6,false,
27150,S106,UK [England],1995,,457,102,167,100,12,6,false,
27151,S360,UK [England],1997,,457,102,167,100,12,6,false,
27152,S153a,UK [England],1996,,457,102,167,100,12,6,false,
27153,S201,UK [England],1996,,457,102,167,100,12,6,false,
27154,S281,UK [England],1996,,457,102,167,100,12,6,false,
27155,NS105,UK [England],2000,,457,102,167,100,12,6,false,
27156,S302,UK [England],1996,,457,102,167,100,12,6,false,
27157,S135,UK [England],1996,,457,102,167,100,12,6,false,
27158,S464,UK [England],1997,,457,102,167,100,12,6,false,
27159,S073,UK [England],1995,,457,102,167,100,12,6,false,
27160,S515,UK [England],1997,,457,102,167,100,12,6,false,
27161,S353,UK [England],1997,,457,102,167,100,12,6,false,
27162,S006,UK [England],1995,,457,102,167,100,12,6,false,
27163,S293,UK [England],1996,,457,102,167,100,12,6,false,
27164,S524,UK [England],1997,,457,102,167,100,12,6,false,
27165,ERR049035,Unknown,,,458,102,167,100,12,6,false,
27166,S217,UK [England],1996,,457,102,167,100,12,6,false,
27167,S508,UK [England],1997,,457,102,365,100,12,6,false,
27168,ERR049044,Unknown,,,457,102,167,100,12,6,false,
27169,S441,UK [England],1997,,457,102,167,100,12,6,false,
27170,S255,UK [England],1996,,457,102,167,100,12,6,false,
27171,S289,UK [England],1996,,457,102,167,100,12,6,false,
27172,S163,UK [England],1996,,457,102,167,100,12,6,false,
27173,S387,UK [England],1997,,457,102,167,100,12,6,false,
27174,S141,UK [England],1996,,,102,167,100,12,6,false,
27175,S316,UK [England],1996,,457,102,167,100,12,6,false,
27176,S155,UK [England],1996,,457,102,167,100,12,6,false,
27177,S478,UK [England],1997,,457,102,167,100,12,6,false,
27178,S142,UK [England],1996,,457,102,167,100,12,6,false,
27179,ERR049033,Unknown,,,458,102,167,100,12,6,false,
27180,NS055,UK [England],1999,,457,102,167,100,12,6,false,
27181,NS101,UK [England],2000,,457,102,167,100,12,6,false,
27182,S517,UK [England],1997,,457,102,167,100,12,6,false,
27183,S368,UK [England],1997,,457,102,167,100,12,6,false,
27184,S290,UK [England],1996,,457,102,167,100,12,6,false,
27185,S306,UK [England],1996,,457,102,167,100,12,6,false,
27186,S256,UK [England],1996,,457,102,167,100,12,6,false,
27187,S152,UK [England],1996,,457,102,167,100,12,6,false,
27188,S149,UK [England],1996,,457,102,167,100,12,6,false,
27189,S311,UK [England],1997,,457,102,167,100,12,6,false,
27190,S100,UK [England],1995,,457,102,167,100,12,6,false,
27191,S466,UK [England],1997,,457,102,167,100,12,6,false,
27192,S184,UK [England],1996,,457,102,167,100,12,6,false,
27193,S078,UK [England],1995,,457,102,167,100,12,6,false,
27194,S525,UK [England],1997,,457,102,,100,12,6,false,
27195,S308,UK [England],1997,,457,102,167,100,12,6,false,
27196,S373,UK [England],1997,,457,102,167,100,12,6,false,
27197,S241,UK [England],1996,,457,102,167,100,12,6,false,
27198,S257,UK [England],1996,,457,102,167,100,12,6,false,
27199,S522,UK [England],1997,,457,102,167,100,12,6,false,
27200,S098,UK [England],1995,,457,102,167,100,12,6,false,
27201,S463,UK [England],1997,,457,102,167,100,12,6,false,
